Name	Fraction	Experiment
UCAnoninf_1	1	UCAnoninf_1
UCAnoninf_2	1	UCAnoninf_2
UCAnoninf_3	1	UCAnoninf_3
UCAnoninf_4	1	UCAnoninf_4
UCAnoninf_5	1	UCAnoninf_5
UCAnoninf_6	1	UCAnoninf_6
UCAnoninf_7	1	UCAnoninf_7
UCAnoninf_8	1	UCAnoninf_8
UCAnoninf_9	1	UCAnoninf_9
UCAnoninf_10	1	UCAnoninf_10
UCAnoninf_11	1	UCAnoninf_11
UCAnoninf_12	1	UCAnoninf_12
UCAnoninf_13	1	UCAnoninf_13
UCAnoninf_14	1	UCAnoninf_14
UCAnoninf_15	1	UCAnoninf_15
UCAnoninf_16	1	UCAnoninf_16
UCAnoninf_17	1	UCAnoninf_17
UCAnoninf_18	1	UCAnoninf_18
UCAinf_1	1	UCAinf_1
UCAinf_2	1	UCAinf_2
UCAinf_3	1	UCAinf_3
UCAinf_4	1	UCAinf_4
UCAinf_5	1	UCAinf_5
UCAinf_6	1	UCAinf_6
UCAinf_7	1	UCAinf_7
UCAinf_8	1	UCAinf_8
UCAinf_9	1	UCAinf_9
UCAinf_10	1	UCAinf_10
UCAinf_11	1	UCAinf_11
UCAinf_12	1	UCAinf_12
UCAinf_13	1	UCAinf_13
UCAinf_14	1	UCAinf_14
UCAinf_15	1	UCAinf_15
UCR_1	1	UCR_1
UCR_2	1	UCR_2
UCR_3	1	UCR_3
UCR_4	1	UCR_4
UCR_5	1	UCR_5
UCR_6	1	UCR_6
UCR_7	1	UCR_7
UCR_8	1	UCR_8
UCR_9	1	UCR_9
UCR_10	1	UCR_10
UCR_11	1	UCR_11
UCR_12	1	UCR_12
UCR_13	1	UCR_13
UCR_14	1	UCR_14
UCR_15	1	UCR_15
UCR_16	1	UCR_16
UCR_17	1	UCR_17
UCR_18	1	UCR_18
UCR_19	1	UCR_19
UCR_20	1	UCR_20
UCR_21	1	UCR_21
UCR_22	1	UCR_22
UCR_23	1	UCR_23
C_1	1	C_1
C_2	1	C_2
C_3	1	C_3
C_4	1	C_4
C_5	1	C_5
C_6	1	C_6
C_7	1	C_7
C_8	1	C_8
C_9	1	C_9
C_10	1	C_10
C_11	1	C_11
C_12	1	C_12
C_13	1	C_13
C_14	1	C_14
C_15	1	C_15
C_16	1	C_16
C_17	1	C_17
C_18	1	C_18
C_19	1	C_19
C_20	1	C_20
C_21	1	C_21
C_22	1	C_22
C_23	1	C_23
C_24	1	C_24
C_25	1	C_25
C_26	1	C_26
C_27	1	C_27
C_28	1	C_28
C_29	1	C_29
C_30	1	C_30
C_31	1	C_31
C_32	1	C_32
C_33	1	C_33
C_34	1	C_34
C_35	1	C_35
C_36	1	C_36
C_37	1	C_37
C_38	1	C_38
C_39	1	C_39
C_40	1	C_40
C_41	1	C_41
C_42	1	C_42
C_43	1	C_43
C_44	1	C_44
C_45	1	C_45
C_46	1	C_46
C_47	1	C_47
